1	1.0,1.0,0.0
2	1.0,1.0,0.0
3	1.0,1.0,0.0
4	1.0,1.0,0.0
[145]	1.0,1.0,0.0
[146]	1.0,1.0,0.0
[147]	1.0,1.0,0.0
[148]	1.0,1.0,0.0
[149]	1.0,1.0,0.0
[150]	1.0,1.0,0.0
[151]	1.0,1.0,0.0
[152]	1.0,1.0,0.0
[153]	1.0,1.0,0.0
[154]	1.0,1.0,0.0
[155]	1.0,1.0,0.0
[156]	1.0,1.0,0.0
[157]	1.0,1.0,0.0
[158]	1.0,1.0,0.0
[159]	1.0,1.0,0.0
[160]	1.0,1.0,0.0
[161]	1.0,1.0,0.0
[162]	1.0,1.0,0.0
[163]	1.0,1.0,0.0
[164]	1.0,1.0,0.0
[165]	1.0,1.0,0.0
[166]	1.0,1.0,0.0
[167]	1.0,1.0,0.0
[168]	1.0,1.0,0.0
[169]	1.0,1.0,0.0
[170]	1.0,1.0,0.0
[171]	1.0,1.0,0.0
[172]	1.0,1.0,0.0
[173]	1.0,1.0,0.0
[174]	1.0,1.0,0.0
[175]	1.0,1.0,0.0
[176]	1.0,1.0,0.0
[177]	1.0,1.0,0.0
[178]	1.0,1.0,0.0
[179]	1.0,1.0,0.0
[180]	1.0,1.0,0.0
[181]	1.0,1.0,0.0
[182]	1.0,1.0,0.0
[183]	1.0,1.0,0.0
[184]	1.0,1.0,0.0
[185]	1.0,1.0,0.0
[186]	1.0,1.0,0.0
[187]	1.0,1.0,0.0
[188]	1.0,1.0,0.0
[189]	1.0,1.0,0.0
[190]	1.0,1.0,0.0
[191]	1.0,1.0,0.0
[192]	1.0,1.0,0.0
[193]	1.0,1.0,0.0
[194]	1.0,1.0,0.0
[195]	1.0,1.0,0.0
[196]	1.0,1.0,0.0
[197]	1.0,1.0,0.0
[198]	1.0,1.0,0.0
[199]	1.0,1.0,0.0
[200]	1.0,1.0,0.0
[201]	1.0,1.0,0.0
[202]	1.0,1.0,0.0
[203]	1.0,1.0,0.0
[204]	1.0,1.0,0.0
[205]	1.0,1.0,0.0
[206]	1.0,1.0,0.0
[207]	1.0,1.0,0.0
[208]	1.0,1.0,0.0
[209]	1.0,1.0,0.0
[210]	1.0,1.0,0.0
[211]	1.0,1.0,0.0
[212]	1.0,1.0,0.0
[213]	1.0,1.0,0.0
[214]	1.0,1.0,0.0
[215]	1.0,1.0,0.0
[216]	1.0,1.0,0.0
[217]	1.0,1.0,0.0
[218]	1.0,1.0,0.0
[219]	1.0,1.0,0.0
[220]	1.0,1.0,0.0
[221]	1.0,1.0,0.0
[222]	1.0,1.0,0.0
[223]	1.0,1.0,0.0
[224]	1.0,1.0,0.0
[225]	1.0,1.0,0.0
[226]	1.0,1.0,0.0
[227]	1.0,1.0,0.0
[228]	1.0,1.0,0.0
[229]	1.0,1.0,0.0
[230]	1.0,1.0,0.0
[231]	1.0,1.0,0.0
[232]	1.0,1.0,0.0
[233]	1.0,1.0,0.0
[234]	1.0,1.0,0.0
[235]	1.0,1.0,0.0
[236]	1.0,1.0,0.0
[237]	1.0,1.0,0.0
[238]	1.0,1.0,0.0
[239]	1.0,1.0,0.0
[240]	1.0,1.0,0.0
[241]	1.0,1.0,0.0
[242]	1.0,1.0,0.0
[243]	1.0,1.0,0.0
[244]	1.0,1.0,0.0
[245]	1.0,1.0,0.0
[246]	1.0,1.0,0.0
[247]	1.0,1.0,0.0
[248]	1.0,1.0,0.0
[249]	1.0,1.0,0.0
[250]	1.0,1.0,0.0
[251]	1.0,1.0,0.0
[252]	1.0,1.0,0.0
[253]	1.0,1.0,0.0
[254]	1.0,1.0,0.0
[255]	1.0,1.0,0.0
[256]	1.0,1.0,0.0
[257]	1.0,1.0,0.0
[258]	1.0,1.0,0.0
[259]	1.0,1.0,0.0
[260]	1.0,1.0,0.0
[261]	1.0,1.0,0.0
[262]	1.0,1.0,0.0
[263]	1.0,1.0,0.0
[264]	1.0,1.0,0.0
[265]	1.0,1.0,0.0
[266]	1.0,1.0,0.0
[267]	1.0,1.0,0.0
[268]	1.0,1.0,0.0
[269]	1.0,1.0,0.0
[270]	1.0,1.0,0.0
[271]	1.0,1.0,0.0
[272]	1.0,1.0,0.0
[273]	1.0,1.0,0.0
[274]	1.0,1.0,0.0
[275]	1.0,1.0,0.0
[276]	1.0,1.0,0.0
[277]	1.0,1.0,0.0
a	45.0,4.4,13.39555555555555
abide	2.0,1.0,0.0
abides	1.0,1.0,0.0
abolishing	1.0,1.0,0.0
abolition	2.0,1.0,0.0
aboriginal	2.0,1.0,0.0
about	3.0,1.3333333333333333,0.22222222222222232
above	3.0,1.0,0.0
abreast	1.0,1.0,0.0
abroad	4.0,1.0,0.0
absence	1.0,1.0,0.0
absent	1.0,1.0,0.0
absolute	1.0,1.0,0.0
absolutely	1.0,1.0,0.0
absolve	2.0,1.0,0.0
absorbs	1.0,1.0,0.0
accept	1.0,2.0,0.0
accidentalcame	1.0,1.0,0.0
accidents	1.0,1.0,0.0
accomplish	1.0,1.0,0.0
accomplished	1.0,1.0,0.0
account	2.0,1.0,0.0
accustomed	1.0,1.0,0.0
acorn	1.0,1.0,0.0
acquire	3.0,1.0,0.0
acquires	2.0,1.0,0.0
acquisitions	1.0,1.0,0.0
across	2.0,1.0,0.0
acrostic	1.0,1.0,0.0
act	4.0,1.25,0.1875
acted	1.0,1.0,0.0
acting	1.0,1.0,0.0
action	6.0,1.1666666666666667,0.13888888888888862
actions	5.0,1.8,0.5599999999999996
activity	2.0,1.0,0.0
actor	2.0,1.0,0.0
acts	6.0,1.0,0.0
actual	1.0,1.0,0.0
actually	1.0,1.0,0.0
adams's	1.0,1.0,0.0
added	1.0,1.0,0.0
addition	1.0,1.0,0.0
adhere	1.0,1.0,0.0
admonished	2.0,1.0,0.0
admonition	1.0,1.0,0.0
adopt	1.0,1.0,0.0
adopted	1.0,1.0,0.0
adored	1.0,1.0,0.0
adults	1.0,1.0,0.0
advances	1.0,1.0,0.0
advancing	2.0,1.0,0.0
adviser	1.0,1.0,0.0
afar	1.0,1.0,0.0
affairs	1.0,1.0,0.0
affect	1.0,1.0,0.0
affectation	2.0,1.0,0.0
affecting	2.0,1.0,0.0
affection	1.0,1.0,0.0
affections	1.0,1.0,0.0
affects	1.0,1.0,0.0
affinity	1.0,1.0,0.0
affirm	1.0,1.0,0.0
affront	1.0,1.0,0.0
afraid	1.0,4.0,0.0
after	6.0,1.5,0.25
afterwards	3.0,1.0,0.0
again	4.0,1.25,0.1875
against	4.0,1.0,0.0
age	3.0,1.0,0.0
agent	1.0,1.0,0.0
ages	2.0,1.0,0.0
ago	1.0,1.0,0.0
agree	1.0,1.0,0.0
agreement	1.0,1.0,0.0
ah	1.0,1.0,0.0
aids	1.0,1.0,0.0
aim	1.0,1.0,0.0
air	1.0,2.0,0.0
airs	1.0,1.0,0.0
alexandrian	1.0,1.0,0.0
alfred	1.0,1.0,0.0
ali	1.0,1.0,0.0
alien	1.0,1.0,0.0
alienated	1.0,1.0,0.0
aliens	1.0,1.0,0.0
alike	3.0,1.0,0.0
all	36.0,2.2222222222222223,1.5061728395061724
allow	2.0,1.0,0.0
allows	1.0,1.0,0.0
almanac	1.0,1.0,0.0
almighty	1.0,1.0,0.0
alms	1.0,1.0,0.0
alone	3.0,1.0,0.0
already	3.0,1.0,0.0
also	6.0,1.0,0.0
always	9.0,1.2222222222222223,0.3950617283950615
am	7.0,1.4285714285714286,0.5306122448979593
ambition	2.0,1.0,0.0
